Energy Use Record Name,Carbon Footprint Name,Organization Asset,Asset Contact,Allocated Renewable Energy (kWh),Power Usage Effectiveness,Diesel Consumption,Diesel Unit,IT Electricity Consumption,IT Electricity Consumption Unit,Electricity Emission Factors,Natural Gas Consumption,Natural Gas Unit,Emission Conversion Factors,Energy Contract,Energy Service Provider,Carbon Inventory Date,Record Type,Report End Date,Report Start Date,Refrigerant GWP Factor,Renewable Energy Project Type
RDC-Cedar DC - Oct2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,75900,1.23,1000,Liters,2589330,kWh,RMPA - eGRID2018,12500,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,10/31/19,10/1/19,HFC-23 - 2018 revision,Geothermal
RDC-Cedar DC - Sep2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,79400,1.23,1000,Liters,2598110,kWh,RMPA - eGRID2018,12500,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,9/30/19,9/1/19,HFC-23 - 2018 revision,Geothermal
RDC-Cedar DC - Jul2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,85400,1.23,1000,Liters,2529010,kWh,RMPA - eGRID2018,10500,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,7/31/19,7/1/19,HFC-23 - 2018 revision,Geothermal
RDC-Cedar DC - Jun2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,91000,1.23,1000,Liters,2459910,kWh,RMPA - eGRID2018,20500,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,6/30/19,6/1/19,HFC-23 - 2018 revision,Geothermal
RDC-Cedar DC - Aug2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,98000,1.23,1000,Liters,2429750,kWh,RMPA - eGRID2018,10500,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,8/31/19,8/1/19,HFC-23 - 2018 revision,Geothermal
RDC-Cedar DC - Nov2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,50000,1.23,1000,Liters,2384014,kWh,RMPA - eGRID2018,12500,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,11/30/19,11/1/19,HFC-23 - 2018 revision,Geothermal
RDC-Cedar DC - Feb2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,102680,1.23,1000,Liters,2338278,kWh,RMPA - eGRID2018,500,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,2/28/19,2/1/19,HFC-23 - 2018 revision,Geothermal
RDC-Cedar DC - Apr2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,75900,1.23,1000,Liters,2492542,kWh,RMPA - eGRID2018,25500,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,4/30/19,4/1/19,HFC-23 - 2018 revision,Geothermal
RDC-Cedar DC - Mar2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,79400,1.23,1000,Liters,2646806,kWh,RMPA - eGRID2018,500,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,3/31/19,3/1/19,HFC-23 - 2018 revision,Geothermal
RDC-Cedar DC - Dec2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,85400,1.23,1000,Liters,2801070,kWh,RMPA - eGRID2018,52500,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,12/31/19,12/1/19,HFC-23 - 2018 revision,Geothermal
RDC-Cedar DC - Jan2017,RDC-Cedar Data Center FY20,RDC-Cedar Data Center,Bobby Bonilla,91000,1.23,100,Liters,2492542,kWh,RMPA - eGRID2018,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,PG&E,12/17/19,Data Center Facility,1/31/19,1/1/19,HFC-23 - 2018 revision,Geothermal
